iter	RMSE	AverageGain:top=10
0	0.2024153176	0.243784824
1	0.2013049825	0.2845689234
2	0.2003429912	0.3017095542
3	0.1993318188	0.3026806581
4	0.1984604594	0.3015310891
5	0.1977693296	0.2952839971
6	0.1968671151	0.3058655187
7	0.1961795908	0.3068118372
8	0.1955721402	0.3122403749
9	0.1949521706	0.3102811999
10	0.1943311469	0.3151541225
11	0.1937199192	0.3246884213
12	0.1931583852	0.3269424878
13	0.1925984373	0.3263112118
14	0.1920896243	0.3297610402
15	0.1916719633	0.3286060332
16	0.1911779763	0.3284559416
17	0.1908248618	0.3277295002
18	0.1903728448	0.3284487286
19	0.1899175399	0.3278211696
20	0.189547921	0.3305769486
21	0.1892020148	0.3310714971
22	0.1888716051	0.3302001256
23	0.1884910408	0.3269120564
24	0.1881843586	0.3277032503
25	0.1878525771	0.3300103307
26	0.1875504257	0.3363242335
27	0.1872825698	0.3401890443
28	0.1870063541	0.3371208412
29	0.186667098	0.339758806
30	0.186411827	0.3393093006
31	0.1861442633	0.3436776828
32	0.1858417264	0.3428855341
33	0.1856453235	0.3433754732
34	0.1854194526	0.3448305215
35	0.1852270364	0.3442179677
36	0.184987387	0.3458133921
37	0.1848177001	0.3441302861
38	0.1845829626	0.3448423545
39	0.1843334218	0.3481105749
40	0.1841654606	0.3491849979
41	0.1839341589	0.3460230305
42	0.183691974	0.3469432614
43	0.1834901073	0.3473060791
44	0.1832774206	0.3470210697
45	0.1830928534	0.349365238
46	0.1829473785	0.3497988807
47	0.1827732664	0.351048825
48	0.1825828864	0.3507455933
49	0.1824456466	0.3501577067
50	0.1822777978	0.3514976164
51	0.1821770512	0.3534305911
52	0.1820366467	0.3519408534
53	0.1819042918	0.3514434657
54	0.1816702832	0.3527313198
55	0.181518359	0.3523768628
56	0.1813722085	0.3522775527
57	0.1812288894	0.353841425
58	0.1810955128	0.3537718506
59	0.1809420451	0.3554409574
60	0.1808031443	0.3561983479
61	0.1806487911	0.3559078863
62	0.1804889998	0.3562856242
63	0.1803049413	0.3574498855
64	0.1801762004	0.3563274965
65	0.1800075281	0.3556791378
66	0.1798821068	0.3573175864
67	0.1797118785	0.3573175864
68	0.1795478782	0.3571050754
69	0.1793893115	0.3597375398
70	0.1792671863	0.3586330096
71	0.1791058319	0.359295713
72	0.1789218264	0.3609398353
73	0.1787940977	0.3625614719
74	0.1786505299	0.3617594358
75	0.1785539771	0.3612012614
76	0.1784095509	0.3628294186
77	0.1782445983	0.3642586782
78	0.1781588822	0.365890991
79	0.1779748727	0.365903744
80	0.1778520588	0.3671335113
81	0.1777011795	0.3667618081
82	0.1775690797	0.366548287
83	0.1774981141	0.3669082215
84	0.1774339831	0.3663298079
85	0.1773261487	0.3680705162
86	0.1772167304	0.366628955
87	0.177097209	0.3691482822
88	0.1769985653	0.3681199973
89	0.1769012635	0.3681199973
90	0.1767415899	0.3687684934
91	0.1766130754	0.3684040319
92	0.1765599397	0.3678359371
93	0.176473289	0.3688053359
94	0.1763640096	0.369877146
95	0.1762375729	0.3690684705
96	0.1761051725	0.369907802
97	0.1760376424	0.3702438758
98	0.1759519825	0.3704135129
99	0.1758172216	0.3729008477
100	0.1757380417	0.3741073933
101	0.175657678	0.3739116565
102	0.1755560256	0.37510604
103	0.1754765419	0.3746997628
104	0.1753569252	0.3744540485
105	0.1752715009	0.3754129209
106	0.1752081218	0.3760174269
107	0.1750879926	0.3765640829
108	0.1749850747	0.3765640829
109	0.1748965693	0.3765530355
110	0.1748391644	0.3768879472
111	0.1747375585	0.3764188582
112	0.1746516523	0.3772707866
113	0.1745625486	0.3778766003
114	0.1744566501	0.3755124546
115	0.1743454113	0.3776224897
116	0.1742627644	0.3768982124
117	0.1741548097	0.3774085124
118	0.1740710271	0.3781746761
119	0.1740403865	0.3789577646
120	0.1739578491	0.3795896805
121	0.1738899674	0.3812607477
122	0.1737805563	0.3804190234
123	0.1737010936	0.3829382011
124	0.1736249469	0.3805434297
125	0.1735479951	0.3814164509
126	0.1734327586	0.384027568
127	0.1733512951	0.3846826538
128	0.1732536727	0.3848077157
129	0.1731734041	0.3838211845
130	0.173105426	0.3837481593
131	0.1729931344	0.3834786488
132	0.1728926515	0.3851906751
133	0.1727789827	0.3874634327
134	0.1727174279	0.3884811005
135	0.1726030864	0.3867693434
136	0.1725155052	0.3900289059
137	0.1724483124	0.3920156737
138	0.1723305865	0.3919393681
139	0.1722605053	0.390789589
140	0.1721851958	0.3940439851
141	0.1721146932	0.3932928574
142	0.172023448	0.3943030149
143	0.1719582621	0.3945872643
144	0.1718874068	0.3951302798
145	0.1718067907	0.394693023
146	0.1717524274	0.3952785166
147	0.1716565568	0.3962523443
148	0.1715891983	0.3967164782
149	0.1715120079	0.3958722172
150	0.171384075	0.3990763355
151	0.171298378	0.3988377198
152	0.1712436955	0.3984189444
153	0.1711498986	0.3974312117
154	0.1710344506	0.3977374369
155	0.1709351607	0.3981229758
156	0.1708534133	0.3980325982
157	0.1707661729	0.3986128861
158	0.1706489287	0.3993848596
159	0.170583192	0.3993848596
160	0.1704908783	0.3999374832
161	0.1704328315	0.3999374832
162	0.1703874267	0.3999374832
163	0.1703009933	0.3996297551
164	0.1701896265	0.4000828475
165	0.1701759793	0.4006524509
166	0.1700772226	0.4010868556
167	0.1699980039	0.401114687
168	0.1699388469	0.4006547648
169	0.1698757031	0.4006547648
170	0.1698247916	0.4009076799
171	0.1697205408	0.4011238537
172	0.1696958242	0.4014662662
173	0.1696160437	0.4019560332
174	0.1695773799	0.402196599
175	0.1695114184	0.402196599
176	0.1694049076	0.4014191513
177	0.1693279381	0.4016034708
178	0.1692256792	0.4012445694
179	0.1691078035	0.4019475103
180	0.1690026615	0.4032535419
181	0.1689276267	0.4026747718
182	0.1688090143	0.4026747718
183	0.1687827089	0.4030256353
184	0.1686784079	0.4044924319
185	0.1686042979	0.4051806634
186	0.1685418307	0.4064633732
187	0.1685184865	0.4073229326
188	0.1684541983	0.4066189929
189	0.1683688668	0.4069266554
190	0.1682800098	0.4062786914
191	0.1681947818	0.4064378575
192	0.1680908663	0.4069012314
193	0.1680473988	0.40595011
194	0.167986456	0.4062298498
195	0.1679027565	0.4069692837
196	0.1678691049	0.4074429874
197	0.1678115367	0.4074429874
198	0.1677299198	0.4072873417
199	0.1676188698	0.4077564306
200	0.1675685177	0.4077564306
201	0.1674189186	0.4075499671
202	0.167365975	0.4072989075
203	0.1672746526	0.4072989075
204	0.1672002933	0.4072989075
205	0.1671126785	0.4083234156
206	0.1670295567	0.4089671146
207	0.1669388452	0.4091632966
208	0.166922979	0.4091632966
209	0.1668257923	0.4096266705
210	0.166736527	0.4105823254
211	0.1666923053	0.4103489856
212	0.1666482678	0.4105028307
213	0.1665576638	0.4101092034
214	0.1665127956	0.4102977707
215	0.1664732396	0.4102977707
216	0.1664655619	0.4104516158
217	0.1664251348	0.4102977707
218	0.1663039159	0.4121327594
219	0.1662424353	0.4119971561
220	0.1662154256	0.4119971561
221	0.1662097236	0.4119971561
222	0.1662047189	0.4119971561
223	0.1661611617	0.4119441921
224	0.1661433537	0.4119441921
225	0.1660322161	0.4119441921
226	0.1660274548	0.4119441921
227	0.1659378003	0.4130944691
228	0.1659286572	0.4130944691
229	0.1658275893	0.4134880964
230	0.1657397073	0.4142730136
231	0.165652161	0.4131889389
232	0.1655563082	0.4135182211
233	0.1654657626	0.4135421648
234	0.1654002664	0.4135421648
235	0.1653959367	0.4135421648
236	0.1653125346	0.413381846
237	0.1651986313	0.4134743515
238	0.1651527727	0.4135182211
239	0.1650782194	0.4136538244
240	0.1649817034	0.4138724519
241	0.1649071858	0.4142549059
242	0.1647760952	0.4146981406
243	0.1647146388	0.4147088812
244	0.1647070449	0.4147088812
245	0.1647028971	0.4147088812
246	0.1645980238	0.4148737571
247	0.1645014585	0.4141800568
248	0.1644292418	0.4141453725
249	0.1644250852	0.4141399923
250	0.1643207163	0.4153393378
251	0.1642073629	0.4153393378
252	0.164128058	0.416161283
253	0.164052256	0.4165710823
254	0.1639828168	0.4170253143
255	0.1639191596	0.4174997834
256	0.1637755865	0.4169246461
257	0.163691405	0.4169485897
258	0.1636292547	0.4160335034
259	0.1635121908	0.4168501088
260	0.1633961865	0.4173415999
261	0.1633285472	0.4178337312
262	0.163275436	0.4178337312
263	0.1631758381	0.4183478166
264	0.1630567365	0.4189745531
265	0.1629502422	0.4186615007
266	0.1628658402	0.418631465
267	0.1627851184	0.4183628575
268	0.1626736555	0.4192279044
269	0.1625987417	0.4193488658
270	0.1625230152	0.4199106754
271	0.1625187658	0.4201769153
272	0.1624411956	0.4202332366
273	0.1623708434	0.4204353202
274	0.1622675953	0.4201990045
275	0.1621990929	0.420541417
276	0.1621409123	0.4222395639
277	0.162015269	0.4225186348
278	0.16191865	0.4242986353
279	0.1618601876	0.4247585575
280	0.1617789355	0.4242894686
281	0.1617065198	0.4242986353
282	0.1616245664	0.4235572044
283	0.1615499951	0.4235480377
284	0.1614618147	0.4241874774
285	0.1613759257	0.4237241036
286	0.1612966133	0.4237183885
287	0.1612009817	0.4242599586
288	0.1611298356	0.4240420094
289	0.1610645831	0.4254626785
290	0.1609693828	0.425730615
291	0.1608572877	0.425730615
292	0.1607764285	0.425730615
293	0.1606979856	0.425730615
294	0.1606339449	0.4262283333
295	0.1605449461	0.4262283333
296	0.1604413243	0.4257592444
297	0.1603819152	0.426092784
298	0.1602971224	0.426092784
299	0.1602118534	0.4257248108
300	0.1600989355	0.4263439091
301	0.1600103396	0.4263801843
302	0.1599389971	0.4266605575
303	0.1598447048	0.4258691201
304	0.1597845747	0.4266986531
305	0.159716381	0.4277090174
306	0.1596325987	0.4284348161
307	0.1595542465	0.4270657508
308	0.1594727344	0.4269572542
309	0.1594161509	0.4269572542
310	0.1593705326	0.4278360516
311	0.1593256828	0.42857155
312	0.1592335591	0.4294664104
313	0.1591471736	0.4297707305
314	0.15906945	0.4292197918
315	0.1590143494	0.429798562
316	0.1589471043	0.4294561495
317	0.158872366	0.4303109734
318	0.1587663945	0.430784989
319	0.1587108292	0.4310702845
320	0.1586313648	0.4310352287
321	0.1585650219	0.4302759176
322	0.1585050665	0.4312554516
323	0.1584555643	0.4312554516
324	0.158403131	0.4317766299
325	0.1583597246	0.4322327646
326	0.1583038116	0.4321454264
327	0.1582380029	0.4319208727
328	0.1581433541	0.4314309817
329	0.1580791628	0.4334905449
330	0.1580119818	0.4334905449
331	0.1579499439	0.4331001624
332	0.157889827	0.4334883069
333	0.1577903625	0.4337576811
334	0.1577754706	0.4337576811
335	0.1577031701	0.4334976765
336	0.1576190217	0.4339571738
337	0.1576042111	0.4339571738
338	0.1575224879	0.4341842898
339	0.1574506419	0.4341842898
340	0.1574181898	0.4345192015
341	0.1573495728	0.4348998922
342	0.1572933079	0.434630518
343	0.1572294309	0.4341706973
344	0.1571876473	0.4341706973
345	0.1570809737	0.4337292829
346	0.1570241765	0.4337292829
347	0.1570164219	0.4337292829
348	0.1569446688	0.4342190017
349	0.156879326	0.4332394677
350	0.1568659628	0.4327046681
351	0.1568617776	0.4327046681
352	0.156796756	0.4327046681
353	0.1567412349	0.4331601942
354	0.1566695667	0.4338906776
355	0.1566089802	0.433566652
356	0.1564770055	0.4340355927
357	0.1563883982	0.434928127
358	0.1563190732	0.4352490707
359	0.1562550282	0.4352383104
360	0.1561305905	0.4356791438
361	0.1560553873	0.4356791438
362	0.1559794196	0.4356791438
363	0.1559338255	0.4361121975
364	0.1558726327	0.4361121975
365	0.1558108219	0.4369407
366	0.1558043173	0.4374302301
367	0.1557435013	0.4382921861
368	0.1556496604	0.4377127343
369	0.1555691375	0.4380390877
370	0.1555132044	0.4380390877
371	0.1554409239	0.4386636203
372	0.1553943027	0.4398265408
373	0.1553605294	0.4398265408
374	0.155295802	0.4397538097
375	0.1552467097	0.4397538097
376	0.1551916821	0.4405389853
377	0.1550823413	0.43996913
378	0.1550346087	0.4415282152
379	0.1549692528	0.4415282152
380	0.154940269	0.4415282152
381	0.1548836514	0.441385646
382	0.1548082272	0.4416939114
383	0.1547472392	0.4420208096
384	0.1547334768	0.4420208096
385	0.1546506921	0.4423352638
386	0.1545571698	0.4413511721
387	0.1545040346	0.441814546
388	0.1544308455	0.441814546
389	0.1543688848	0.4420635966
390	0.1543162748	0.4416418838
391	0.1542182217	0.4420761359
392	0.1541707785	0.4414762616
393	0.1540983647	0.4416118648
394	0.1540339916	0.4419582442
395	0.153977596	0.4428097871
396	0.1539746307	0.4428097871
397	0.1539123295	0.4423464133
398	0.1538338786	0.4421737511
399	0.1537861315	0.4425596068
400	0.1537072796	0.4419981386
401	0.1536261185	0.4427132058
402	0.153569799	0.4430806853
403	0.1535466111	0.4430806853
404	0.1535013184	0.4435855285
405	0.1533936146	0.4443346513
406	0.1533564711	0.4448339228
407	0.1532805371	0.4444928715
408	0.153214401	0.4441515759
409	0.1531708294	0.4442470307
410	0.15309527	0.4442693816
411	0.1530522591	0.4442693816
412	0.1530001282	0.4443719375
413	0.1529274198	0.444498437
414	0.1528693981	0.444498437
415	0.1527700106	0.4449103193
416	0.1526701859	0.4439927135
417	0.1526015442	0.4440182311
418	0.1525411874	0.4450589249
419	0.1524894397	0.4450589249
420	0.1524277283	0.4450589249
421	0.152381056	0.4467242154
422	0.1523395464	0.4466257866
423	0.1522767978	0.4472534934
424	0.1522106047	0.4477406139
425	0.1521627618	0.44821729
426	0.1520866394	0.4474190045
427	0.1520358452	0.4481135582
428	0.1519651116	0.448323983
429	0.1519164788	0.448323983
430	0.1518978447	0.4490710822
431	0.1518610093	0.4490710822
432	0.1517751392	0.4490485418
433	0.1517159891	0.4490485418
434	0.1516544796	0.4480754419
435	0.1516518804	0.4480754419
436	0.1515788641	0.4474734497
437	0.1515215063	0.4474826164
438	0.1514276833	0.4476210325
439	0.1514248711	0.4476210325
440	0.1513747438	0.448108638
441	0.1512937641	0.4488902538
442	0.1512227879	0.4500491576
443	0.1511749582	0.4495620371
444	0.1511285765	0.4489268488
445	0.1510628263	0.4489747361
446	0.1509995022	0.4494035964
447	0.1509449936	0.448812913
448	0.1508919498	0.4491629402
449	0.1508415508	0.4492333678
450	0.1507730552	0.4493116959
451	0.1507044219	0.4494013831
452	0.1506721338	0.4492996372
453	0.1506418481	0.4496496643
454	0.1505690108	0.4497880121
455	0.1505149004	0.4497880121
456	0.1504589179	0.4488934039
457	0.1504012333	0.4495913096
458	0.1503069128	0.449989224
459	0.1502590361	0.4503241356
460	0.1502120447	0.4501976361
461	0.1501544091	0.4507663995
462	0.1501521158	0.4507663995
463	0.1500750523	0.4512991324
464	0.1500727914	0.4512991324
465	0.1500213389	0.4507466759
466	0.1499768971	0.4502775869
467	0.1499267449	0.4507466759
468	0.1499245332	0.4507466759
469	0.1498603591	0.4507558426
470	0.1497941685	0.4504850027
471	0.1497449993	0.4505772394
472	0.1497029907	0.4495619016
473	0.1496446001	0.450518111
474	0.1495210545	0.4512770021
475	0.1494609826	0.4507603742
476	0.1494162323	0.4507603742
477	0.149360698	0.4510460992
478	0.1492844088	0.4521917018
479	0.1492222949	0.4521259964
480	0.1491680426	0.4521259964
481	0.149165904	0.4521259964
482	0.1491213557	0.4525659933
483	0.1490666403	0.4522644125
484	0.1490214329	0.4521987725
485	0.1489518421	0.4531828238
486	0.1489158754	0.4530125177
487	0.1489141159	0.4530125177
488	0.1488576774	0.4526897097
489	0.1488018043	0.4528691826
490	0.1487400266	0.4532040942
491	0.1487036918	0.4537835461
492	0.1487016929	0.4537835461
493	0.1486645185	0.4542235429
494	0.1485957493	0.455042659
495	0.1485480105	0.4551965041
496	0.1485131049	0.4549585206
497	0.1484529433	0.4546389779
498	0.1484095693	0.4544851328
499	0.1483455147	0.4544851328
500	0.1482757097	0.4541851056
501	0.1482319371	0.4541553808
502	0.1481711627	0.4541275494
503	0.1481061253	0.4541036058
504	0.148038069	0.4536917963
505	0.1480022144	0.4536917963
506	0.1479556789	0.4541276411
507	0.1478991659	0.4541276411
508	0.1478588558	0.4550391256
509	0.147809965	0.4552185984
510	0.1477584395	0.4552185984
511	0.1477387337	0.4552185984
512	0.1476959858	0.4546532699
513	0.1476263509	0.4546532699
514	0.1475932148	0.4544890603
515	0.1475442363	0.4538890059
516	0.1474942125	0.4538890059
517	0.1474315967	0.453731737
518	0.1473557284	0.4534478401
519	0.1473537697	0.4534478401
520	0.1473047597	0.453748726
521	0.1472116008	0.4537712664
522	0.147147678	0.4552335299
523	0.1470640891	0.4543067822
524	0.147013107	0.4552335299
525	0.1469776344	0.4548044007
526	0.146927609	0.4558361511
527	0.1468840296	0.4549344379
528	0.146835571	0.4555344923
529	0.1467843633	0.4562835604
530	0.1467279902	0.4563263569
531	0.1466817978	0.4564895336
532	0.146635146	0.4574797443
533	0.146563322	0.4574797443
534	0.1465300474	0.4574797443
535	0.1464926938	0.4578132839
536	0.1464627242	0.4580403999
537	0.1464095105	0.4580812204
538	0.146356994	0.4589605948
539	0.1463236619	0.4589605948
540	0.1462861083	0.4584173546
541	0.1462093055	0.4583765341
542	0.1461520565	0.4587565976
543	0.1461502204	0.4587565976
544	0.1461047072	0.4587565976
545	0.1460476661	0.4587565976
546	0.146045821	0.4587565976
547	0.1460168737	0.4589854144
548	0.145990965	0.4587808388
549	0.1459136585	0.4593288867
550	0.1458860647	0.4593288867
551	0.1458329724	0.4597192352
552	0.1457691672	0.4599871717
553	0.1457186799	0.4594903995
554	0.1456826299	0.4605638056
555	0.1456530965	0.460591637
556	0.1456234631	0.4603296086
557	0.1455679764	0.4606631482
558	0.1455245725	0.4606909796
559	0.1454457935	0.4616425211
560	0.1454104825	0.4621392932
561	0.145354281	0.4611877518
562	0.1453163127	0.4611877518
563	0.1452607337	0.4611877518
564	0.1451949315	0.4620114633
565	0.1451475863	0.4620114633
566	0.1451037739	0.4617056993
567	0.1450605008	0.4616778679
568	0.144981231	0.4620666825
569	0.1449068486	0.4615234423
570	0.144823205	0.4630182239
571	0.1447824039	0.4630460554
572	0.1447283692	0.4630460554
573	0.1446789592	0.4630221117
574	0.1446730013	0.4630221117
575	0.1446299333	0.4635188839
576	0.144585321	0.4635188839
577	0.1445267611	0.4649755769
578	0.1444666453	0.4649755769
579	0.1444306015	0.4654389508
580	0.1443694031	0.4654389508
581	0.1443176974	0.4641121592
582	0.1442607522	0.4641549557
583	0.1442589583	0.4641549557
584	0.1442125301	0.4641121592
585	0.1441575581	0.4636359301
586	0.1440955932	0.4654817473
587	0.1440564777	0.4654389508
588	0.1439961954	0.4654817473
589	0.1439268886	0.4651686949
590	0.1438979448	0.4654817473
591	0.1438662151	0.4654817473
592	0.1438190384	0.4665513464
593	0.1437614284	0.4665513464
594	0.1436967772	0.4665513464
595	0.1436754192	0.4665513464
596	0.1436387448	0.4661255749
597	0.1435940626	0.4661481153
598	0.1435470325	0.4663467708
599	0.1435154458	0.4659209993
600	0.1434642532	0.4663467708
601	0.1434177013	0.4668630136
602	0.1433733634	0.4668630136
603	0.1432883092	0.4666643581
604	0.1432372139	0.4671114853
605	0.1431954148	0.4674107573
606	0.1431171811	0.4668135618
607	0.1430805847	0.4668135618
608	0.1430398947	0.4665864458
609	0.143027349	0.4665864458
610	0.1429699701	0.4668135618
611	0.1429227395	0.4665864458
612	0.1428595235	0.4667857304
613	0.1428278077	0.4678210537
614	0.1427909361	0.4677971101
615	0.1427187379	0.4683493811
616	0.1426768303	0.4683733248
617	0.1426198234	0.4683733248
618	0.1425725842	0.4673897765
619	0.1425312109	0.4688424137
620	0.1424826607	0.4688424137
621	0.1424350143	0.4683076142
622	0.1423758779	0.4685567211
623	0.142355096	0.4685567211
624	0.1423127372	0.4688769682
625	0.142277196	0.4689511571
626	0.1422756733	0.4689511571
627	0.1422192017	0.468681783
628	0.1422177032	0.468681783
629	0.1421663405	0.468681783
630	0.1421240609	0.4686578393
631	0.1420447362	0.4686803797
632	0.1420097128	0.4686803797
633	0.1420083466	0.4686803797
634	0.1419648207	0.4688518037
635	0.1419288615	0.4696087472
636	0.1418835975	0.4697801712
637	0.1418471925	0.4697801712
638	0.1417928157	0.4700495454
639	0.1417422202	0.4706024653
640	0.1416962962	0.4706357661
641	0.141623942	0.4698812641
642	0.1415687263	0.4701266946
643	0.1414903656	0.4695325438
644	0.1414541946	0.4695325438
645	0.1413778423	0.4695325438
646	0.1413138909	0.4691979431
647	0.1412585749	0.4695070342
648	0.1412049316	0.4694135949
649	0.1411562015	0.4700715676
650	0.1411267713	0.4697555065
651	0.1410867748	0.4693477163
652	0.1410300288	0.4696066834
653	0.1409894539	0.4694665483
654	0.1409271308	0.4700622758
655	0.1408701758	0.4699161937
656	0.1408213453	0.4703043255
657	0.1407376536	0.4702275427
658	0.1406585957	0.4694802591
659	0.1406003943	0.4695311321
660	0.1405330751	0.4700659316
661	0.1404692451	0.4704717003
662	0.1404185401	0.4707717275
663	0.1403643823	0.4713025092
664	0.1403262053	0.4713025092
665	0.1402641281	0.4710787509
666	0.1402129543	0.4710728353
667	0.1401647427	0.4713811007
668	0.1401157207	0.4715605736
669	0.1400812443	0.4714745228
670	0.1400244593	0.4713058103
671	0.1399880537	0.4707281707
672	0.1399522221	0.4709975448
673	0.1399143799	0.4706891451
674	0.1398877696	0.4705487961
675	0.13984456	0.471135961
676	0.1398014639	0.4708275612
677	0.1397583295	0.4711358266
678	0.1397564995	0.4711358266
